,Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video,Growth,Name,Site
4807,80156,9,Channel1,74,2594.364864864865,287130.98849525204,191983,195.86486486486487,651.2972972972973,-65.98529252863196,10.315683579849235,9.22886835120373,False,-2.0,8,7&8
4808,80156,10,Channel1,75,2493.44,203407.3664,187008,195.88,650.36,-72.10962226202625,10.410073134666977,9.253084162595416,False,1.0,8,7&8
4809,80156,11,Channel1,82,2530.268292682927,274468.6109458655,207482,197.47560975609755,649.280487804878,-43.49000047199829,10.827644730581026,9.752322215793868,False,7.0,8,7&8
4810,80156,12,Channel1,82,2496.329268292683,223239.1720701963,204699,197.9878048780488,648.7073170731708,-43.9795094435463,10.843990195096346,9.764165172438371,False,0.0,8,7&8
4811,80156,13,Channel1,84,2522.8571428571427,256420.8843537415,211920,197.8809523809524,650.6666666666666,-33.44156633910816,10.83294661792934,9.980307270172478,False,2.0,8,7&8
4812,80156,14,Channel1,82,2457.878048780488,229512.9119571684,201546,197.96341463414635,648.5731707317074,-18.621966572606063,10.539765340106976,10.022937018615009,False,-2.0,8,7&8
4813,80156,15,Channel1,83,2479.867469879518,216205.56074902017,205829,196.8192771084337,650.4939759036145,-6.761196875786091,10.440037934939404,10.230894247476048,False,1.0,8,7&8
4814,80156,16,Channel1,80,2293.0875,153747.15484375,183447,197.675,649.4125,-46.2363762844866,10.358276369340974,9.93318357692075,False,-3.0,8,7&8
4815,80156,17,Channel1,84,2448.4880952380954,227344.13081065752,205673,197.57142857142856,649.5952380952381,-49.17366630562282,10.830344177795372,9.95735177642925,False,4.0,8,7&8
4816,80156,18,Channel1,85,2410.6470588235293,221533.38131487888,204905,199.81176470588235,650.5764705882353,-50.36737294633899,11.281162205228952,9.735569714950634,False,1.0,8,7&8
4817,80156,19,Channel1,84,868.7857142857143,24279.596938775518,72978,200.8690476190476,647.5833333333334,-53.78879156593483,11.295053628191692,9.620901832042795,False,-1.0,8,7&8
4818,80156,20,Channel1,86,2301.8488372093025,196686.10505678743,197959,199.5813953488372,649.2209302325581,-62.49678059392269,11.512629080570829,9.619690297542675,False,2.0,8,7&8
4819,80156,21,Channel1,88,2308.204545454545,240466.57179752068,203122,200.4886363636364,647.6136363636364,-70.4483296580234,11.987104359664125,9.5077391300557,False,2.0,8,7&8
4820,80156,22,Channel1,82,2128.8048780487807,134732.3033908388,174562,200.9878048780488,643.8536585365854,-81.42334417163852,11.430034694361968,9.214458696622945,False,-6.0,8,7&8
4821,80156,23,Channel1,79,2245.8734177215188,167477.8320781926,177424,200.7594936708861,644.0886075949367,79.45964463482137,11.120166324681993,9.170486590846837,False,-3.0,8,7&8
4822,80156,24,Channel1,82,2259.9268292682927,180113.72635336113,185314,200.0121951219512,643.939024390244,75.54725203550646,11.29046354058986,9.347533447284164,False,3.0,8,7&8
4829,80157,0,Channel1,101,3050.7524752475247,267669.2159592197,308126,128.8118811881188,912.7623762376238,-70.06296429174886,14.607912408692853,8.908677714695587,False,,8,7&8
4830,80157,1,Channel1,111,3043.234234234234,338631.94513432344,337799,130.5855855855856,914.4954954954954,-69.00923334851342,14.803982376393972,9.663232375109828,False,10.0,8,7&8
4831,80157,2,Channel1,122,3056.0819672131147,435144.6326256383,372842,129.65573770491804,915.7295081967212,-63.376702043825205,15.385973037121666,10.30675295895592,False,11.0,8,7&8
4832,80157,3,Channel1,116,3030.689655172414,454263.0243757431,351560,131.69827586206895,914.0689655172414,-76.13203396950644,14.305230146500126,10.450983643721347,False,-6.0,8,7&8
4833,80157,4,Channel1,114,2995.535087719298,482287.1785934133,341491,132.99122807017545,912.561403508772,-80.35499357047735,14.368245854531231,10.28467766857105,False,-2.0,8,7&8
4834,80157,5,Channel1,112,2926.1875,419789.3844866072,327733,133.34821428571428,912.7142857142856,-87.03988474180846,14.451491705810454,10.01195932681679,False,-2.0,8,7&8
4835,80157,6,Channel1,107,2847.5607476635514,340439.25565551576,304689,133.66355140186917,911.570093457944,88.67494303159414,13.749989252103822,10.038229154243238,False,-5.0,8,7&8
4836,80157,7,Channel1,104,2753.355769230769,329980.13304363907,286349,133.41346153846155,913.5,89.60505050922004,13.934833184640986,9.631583435290931,False,-3.0,8,7&8
4837,80157,8,Channel1,103,2705.8349514563106,324731.9047978132,278701,133.62135922330097,912.0485436893204,89.09448646051545,13.575628931600066,9.798698978049408,False,-1.0,8,7&8
4838,80157,9,Channel1,105,2646.0,269352.9142857143,277830,133.74285714285713,911.9904761904762,-89.71679311076227,13.98354294287608,9.703615844847445,False,2.0,8,7&8
4839,80157,10,Channel1,103,2450.650485436893,195491.02347063812,252417,134.02912621359224,911.0873786407768,86.82998349001612,14.370888740560051,9.225247864108882,False,-2.0,8,7&8
